Time,Machine name,Batch
02:53:31.740,T3X0_001,Default
02:54:02.020,T3X0_001,Default
02:54:32.284,T3X0_001,Default
02:55:02.548,T3X0_001,Default
02:55:32.828,T3X0_001,Default
02:56:03.107,T3X0_001,Default
02:56:33.356,T3X0_001,Default
02:57:03.620,T3X0_001,Default
02:57:33.915,T3X0_001,Default
02:58:04.210,T3X0_001,Default
02:58:34.458,T3X0_001,Default
02:59:04.738,T3X0_001,Default
02:59:35.018,T3X0_001,Default
03:00:05.297,T3X0_001,Default
03:00:35.592,T3X0_001,Default
03:01:05.856,T3X0_001,Default
03:01:36.136,T3X0_001,Default
03:02:06.384,T3X0_001,Default
03:02:36.664,T3X0_001,Default
03:03:06.928,T3X0_001,Default
03:03:37.192,T3X0_001,Default
03:04:07.487,T3X0_001,Default
03:04:37.751,T3X0_001,Default
03:05:08.000,T3X0_001,Default
03:05:38.264,T3X0_001,Default
03:06:08.543,T3X0_001,Default
03:06:38.838,T3X0_001,Default
03:07:09.118,T3X0_001,Default
03:07:39.382,T3X0_001,Default
03:08:09.662,T3X0_001,Default
03:08:39.910,T3X0_001,Default
03:09:10.174,T3X0_001,Default
03:09:40.438,T3X0_001,Default
03:10:10.733,T3X0_001,Default
03:10:40.997,T3X0_001,Default
03:11:11.261,T3X0_001,Default
03:11:41.525,T3X0_001,Default
03:12:11.789,T3X0_001,Default
03:12:42.084,T3X0_001,Default
03:13:12.333,T3X0_001,Default
03:13:42.597,T3X0_001,Default
03:14:12.845,T3X0_001,Default
03:14:43.109,T3X0_001,Default
03:15:13.389,T3X0_001,Default
03:15:43.684,T3X0_001,Default
03:16:13.948,T3X0_001,Default
03:16:44.212,T3X0_001,Default
03:17:14.476,T3X0_001,Default
03:17:44.740,T3X0_001,Default
03:18:15.004,T3X0_001,Default
03:18:45.268,T3X0_001,Default
03:19:15.548,T3X0_001,Default
03:19:45.812,T3X0_001,Default
03:20:16.091,T3X0_001,Default
03:20:46.371,T3X0_001,Default
03:21:16.619,T3X0_001,Default
03:21:46.914,T3X0_001,Default
03:22:17.178,T3X0_001,Default
03:22:47.427,T3X0_001,Default
03:23:17.691,T3X0_001,Default
03:23:47.939,T3X0_001,Default
03:24:18.219,T3X0_001,Default
03:24:48.483,T3X0_001,Default
03:25:18.731,T3X0_001,Default
03:25:49.011,T3X0_001,Default
03:26:19.275,T3X0_001,Default
03:26:49.570,T3X0_001,Default
03:27:19.850,T3X0_001,Default
03:27:50.129,T3X0_001,Default
03:28:20.393,T3X0_001,Default
03:28:50.657,T3X0_001,Default
03:29:20.921,T3X0_001,Default
03:29:51.201,T3X0_001,Default
03:30:21.480,T3X0_001,Default
03:30:51.744,T3X0_001,Default
03:31:21.993,T3X0_001,Default
03:31:52.257,T3X0_001,Default
03:32:22.521,T3X0_001,Default
03:32:52.785,T3X0_001,Default
03:33:23.080,T3X0_001,Default
03:33:53.344,T3X0_001,Default
03:34:23.608,T3X0_001,Default
03:34:53.888,T3X0_001,Default
03:35:24.152,T3X0_001,Default
03:35:54.400,T3X0_001,Default
03:36:24.680,T3X0_001,Default
03:36:54.944,T3X0_001,Default
03:37:25.192,T3X0_001,Default
03:37:55.456,T3X0_001,Default
03:38:25.704,T3X0_001,Default
03:38:56.000,T3X0_001,Default
03:39:26.248,T3X0_001,Default
03:39:56.512,T3X0_001,Default
03:40:26.792,T3X0_001,Default
03:40:57.040,T3X0_001,Default
03:41:27.320,T3X0_001,Default
03:41:57.599,T3X0_001,Default
03:42:27.863,T3X0_001,Default
03:42:58.112,T3X0_001,Default
03:43:28.376,T3X0_001,Default
03:43:58.640,T3X0_001,Default
03:44:28.919,T3X0_001,Default
03:44:59.168,T3X0_001,Default
03:45:29.432,T3X0_001,Default
03:45:59.696,T3X0_001,Default
03:46:29.960,T3X0_001,Default
03:47:00.208,T3X0_001,Default
03:47:30.472,T3X0_001,Default
03:48:00.736,T3X0_001,Default
03:48:31.016,T3X0_001,Default
03:49:01.280,T3X0_001,Default
03:49:31.544,T3X0_001,Default
03:50:01.808,T3X0_001,Default
03:50:32.072,T3X0_001,Default
03:51:02.336,T3X0_001,Default
03:51:32.584,T3X0_001,Default
03:52:02.864,T3X0_001,Default
03:52:33.143,T3X0_001,Default
03:53:03.407,T3X0_001,Default
03:53:33.671,T3X0_001,Default
03:54:03.920,T3X0_001,Default
03:54:34.215,T3X0_001,Default
03:55:04.494,T3X0_001,Default
03:55:34.758,T3X0_001,Default
03:56:05.038,T3X0_001,Default
03:56:35.318,T3X0_001,Default
03:57:05.582,T3X0_001,Default
03:57:35.846,T3X0_001,Default
03:58:06.125,T3X0_001,Default
03:58:36.374,T3X0_001,Default
03:59:06.653,T3X0_001,Default
03:59:36.917,T3X0_001,Default
04:00:07.197,T3X0_001,Default
04:00:37.445,T3X0_001,Default
04:01:07.725,T3X0_001,Default
04:01:37.989,T3X0_001,Default
04:02:08.253,T3X0_001,Default
04:02:38.517,T3X0_001,Default
04:03:08.765,T3X0_001,Default
04:03:39.045,T3X0_001,Default
04:04:09.309,T3X0_001,Default
04:04:39.588,T3X0_001,Default
04:05:09.821,T3X0_001,Default
04:05:40.085,T3X0_001,Default
04:06:10.349,T3X0_001,Default
04:06:40.629,T3X0_001,Default
04:07:10.893,T3X0_001,Default
04:07:41.141,T3X0_001,Default
04:08:11.405,T3X0_001,Default
04:08:41.685,T3X0_001,Default
04:09:11.949,T3X0_001,Default
04:09:42.213,T3X0_001,Default
04:10:12.492,T3X0_001,Default
04:10:42.756,T3X0_001,Default
04:11:13.036,T3X0_001,Default
04:11:43.283,T3X0_001,Default
04:12:13.560,T3X0_001,Default
04:12:43.837,T3X0_001,Default
04:13:14.099,T3X0_001,Default
04:13:44.376,T3X0_001,Default
04:14:14.638,T3X0_001,Default
04:14:44.884,T3X0_001,Default
04:15:15.146,T3X0_001,Default
04:15:45.423,T3X0_001,Default
04:16:15.669,T3X0_001,Default
04:16:45.932,T3X0_001,Default
04:17:16.195,T3X0_001,Default
04:17:46.458,T3X0_001,Default
04:18:16.722,T3X0_001,Default
04:18:46.985,T3X0_001,Default
04:19:17.264,T3X0_001,Default
04:19:47.527,T3X0_001,Default
04:20:17.790,T3X0_001,Default
04:20:48.085,T3X0_001,Default
04:21:18.363,T3X0_001,Default
04:21:48.627,T3X0_001,Default
04:22:18.891,T3X0_001,Default
04:22:49.171,T3X0_001,Default
04:23:19.435,T3X0_001,Default
04:23:49.699,T3X0_001,Default
04:24:19.978,T3X0_001,Default
04:24:50.242,T3X0_001,Default
04:25:20.506,T3X0_001,Default
04:25:50.770,T3X0_001,Default
04:26:21.034,T3X0_001,Default
04:26:51.298,T3X0_001,Default
04:27:21.562,T3X0_001,Default
04:27:51.826,T3X0_001,Default
04:28:22.075,T3X0_001,Default
04:28:52.339,T3X0_001,Default
04:29:22.587,T3X0_001,Default
04:29:52.867,T3X0_001,Default
04:30:23.131,T3X0_001,Default
04:30:53.426,T3X0_001,Default
04:31:23.674,T3X0_001,Default
04:31:53.923,T3X0_001,Default
04:32:24.218,T3X0_001,Default
04:32:54.482,T3X0_001,Default
04:33:24.793,T3X0_001,Default
04:33:55.057,T3X0_001,Default
04:34:25.321,T3X0_001,Default
04:34:55.585,T3X0_001,Default
04:35:25.849,T3X0_001,Default
04:35:56.097,T3X0_001,Default
04:36:26.361,T3X0_001,Default
04:36:56.625,T3X0_001,Default
04:37:26.889,T3X0_001,Default
04:37:57.153,T3X0_001,Default
04:38:27.402,T3X0_001,Default
04:38:57.681,T3X0_001,Default
04:39:27.930,T3X0_001,Default
04:39:58.209,T3X0_001,Default
04:40:28.473,T3X0_001,Default
04:40:58.737,T3X0_001,Default
04:41:28.986,T3X0_001,Default
04:41:59.250,T3X0_001,Default
04:42:29.529,T3X0_001,Default
04:42:59.793,T3X0_001,Default
04:43:30.042,T3X0_001,Default
04:44:00.306,T3X0_001,Default
04:44:30.585,T3X0_001,Default
04:45:00.849,T3X0_001,Default
04:45:31.113,T3X0_001,Default
04:46:01.377,T3X0_001,Default
04:46:31.641,T3X0_001,Default
04:47:01.921,T3X0_001,Default
04:47:32.185,T3X0_001,Default
04:48:02.433,T3X0_001,Default
04:48:32.728,T3X0_001,Default
04:49:02.992,T3X0_001,Default
04:49:33.272,T3X0_001,Default
04:50:03.536,T3X0_001,Default
04:50:33.800,T3X0_001,Default
04:51:04.064,T3X0_001,Default
04:51:34.328,T3X0_001,Default
04:52:04.608,T3X0_001,Default
04:52:34.872,T3X0_001,Default
04:53:05.120,T3X0_001,Default
04:53:35.415,T3X0_001,Default
04:54:05.679,T3X0_001,Default
04:54:35.959,T3X0_001,Default
04:55:06.254,T3X0_001,Default
04:55:36.518,T3X0_001,Default
04:56:06.829,T3X0_001,Default
04:56:37.093,T3X0_001,Default
04:57:07.357,T3X0_001,Default
04:57:37.621,T3X0_001,Default
04:58:07.900,T3X0_001,Default
04:58:38.180,T3X0_001,Default
04:59:08.428,T3X0_001,Default
04:59:38.708,T3X0_001,Default
05:00:08.988,T3X0_001,Default
05:00:39.252,T3X0_001,Default
05:01:09.531,T3X0_001,Default
05:01:39.826,T3X0_001,Default
05:02:10.106,T3X0_001,Default
05:02:40.386,T3X0_001,Default
05:03:10.665,T3X0_001,Default
05:03:40.929,T3X0_001,Default
05:04:11.209,T3X0_001,Default
05:04:41.488,T3X0_001,Default
05:05:11.768,T3X0_001,Default
05:05:42.048,T3X0_001,Default
05:06:12.312,T3X0_001,Default
05:06:42.560,T3X0_001,Default
05:07:12.808,T3X0_001,Default
05:07:43.088,T3X0_001,Default
05:08:13.352,T3X0_001,Default
05:08:43.616,T3X0_001,Default
05:09:13.896,T3X0_001,Default
05:09:44.206,T3X0_001,Default
05:10:14.455,T3X0_001,Default
05:10:44.750,T3X0_001,Default
05:11:15.014,T3X0_001,Default
05:11:45.294,T3X0_001,Default
05:12:15.558,T3X0_001,Default
05:12:45.822,T3X0_001,Default
05:13:16.101,T3X0_001,Default
05:13:46.381,T3X0_001,Default
05:14:16.629,T3X0_001,Default
05:14:46.893,T3X0_001,Default
05:15:17.157,T3X0_001,Default
05:15:47.437,T3X0_001,Default
05:16:17.701,T3X0_001,Default
05:16:47.980,T3X0_001,Default
05:17:18.244,T3X0_001,Default
05:17:48.524,T3X0_001,Default
05:18:18.804,T3X0_001,Default
05:18:49.099,T3X0_001,Default
05:19:19.394,T3X0_001,Default
05:19:49.658,T3X0_001,Default
05:20:19.938,T3X0_001,Default
05:20:50.217,T3X0_001,Default
05:21:20.481,T3X0_001,Default
05:21:50.761,T3X0_001,Default
05:22:21.009,T3X0_001,Default
05:22:51.273,T3X0_001,Default
05:23:21.568,T3X0_001,Default
05:23:51.832,T3X0_001,Default
05:24:22.096,T3X0_001,Default
05:24:52.376,T3X0_001,Default
05:25:22.656,T3X0_001,Default
05:25:52.904,T3X0_001,Default
05:26:23.168,T3X0_001,Default
05:26:53.416,T3X0_001,Default
05:27:23.696,T3X0_001,Default
05:27:53.944,T3X0_001,Default
05:28:24.240,T3X0_001,Default
05:28:54.504,T3X0_001,Default
05:29:24.799,T3X0_001,Default
05:29:55.078,T3X0_001,Default
05:30:25.358,T3X0_001,Default
05:30:55.638,T3X0_001,Default
05:31:25.917,T3X0_001,Default
05:31:56.212,T3X0_001,Default
05:32:26.461,T3X0_001,Default
05:32:56.740,T3X0_001,Default
05:33:27.004,T3X0_001,Default
05:33:57.268,T3X0_001,Default
05:34:27.548,T3X0_001,Default
05:34:57.828,T3X0_001,Default
05:35:28.076,T3X0_001,Default
05:35:58.356,T3X0_001,Default
05:36:28.620,T3X0_001,Default
05:36:58.899,T3X0_001,Default
05:37:29.179,T3X0_001,Default
05:37:59.458,T3X0_001,Default
05:38:29.738,T3X0_001,Default
05:39:00.002,T3X0_001,Default
05:39:30.297,T3X0_001,Default
05:40:00.561,T3X0_001,Default
05:40:30.841,T3X0_001,Default
05:41:01.105,T3X0_001,Default
05:41:31.369,T3X0_001,Default
05:42:01.617,T3X0_001,Default
05:42:31.897,T3X0_001,Default
05:43:02.176,T3X0_001,Default
05:43:32.456,T3X0_001,Default
05:44:02.720,T3X0_001,Default
05:44:33.000,T3X0_001,Default
05:45:03.279,T3X0_001,Default
05:45:33.543,T3X0_001,Default
05:46:03.838,T3X0_001,Default
05:46:34.118,T3X0_001,Default
05:47:04.366,T3X0_001,Default
05:47:34.662,T3X0_001,Default
05:48:04.910,T3X0_001,Default
05:48:35.174,T3X0_001,Default
05:49:05.438,T3X0_001,Default
05:49:35.702,T3X0_001,Default
05:50:05.982,T3X0_001,Default
05:50:36.246,T3X0_001,Default
05:51:06.525,T3X0_001,Default
05:51:36.789,T3X0_001,Default
05:52:07.069,T3X0_001,Default
05:52:37.333,T3X0_001,Default
05:53:07.597,T3X0_001,Default
05:53:37.861,T3X0_001,Default
05:54:08.172,T3X0_001,Default
05:54:38.436,T3X0_001,Default
05:55:08.715,T3X0_001,Default
05:55:38.979,T3X0_001,Default
05:56:09.259,T3X0_001,Default
05:56:39.523,T3X0_001,Default
05:57:09.787,T3X0_001,Default
05:57:40.066,T3X0_001,Default
05:58:10.330,T3X0_001,Default
05:58:40.610,T3X0_001,Default
05:59:10.874,T3X0_001,Default
05:59:41.138,T3X0_001,Default
06:00:11.418,T3X0_001,Default
06:00:41.666,T3X0_001,Default
06:01:11.946,T3X0_001,Default
06:01:42.210,T3X0_001,Default
06:02:12.489,T3X0_001,Default
06:02:42.769,T3X0_001,Default
06:03:13.033,T3X0_001,Default
06:03:43.297,T3X0_001,Default
06:04:13.576,T3X0_001,Default
06:04:43.856,T3X0_001,Default
06:05:14.104,T3X0_001,Default
06:05:44.384,T3X0_001,Default
06:06:14.664,T3X0_001,Default
06:06:44.912,T3X0_001,Default
06:07:15.176,T3X0_001,Default
06:07:45.456,T3X0_001,Default
06:08:15.735,T3X0_001,Default
06:08:45.999,T3X0_001,Default
06:09:16.279,T3X0_001,Default
06:09:46.558,T3X0_001,Default
06:10:16.807,T3X0_001,Default
06:10:47.086,T3X0_001,Default
06:11:17.350,T3X0_001,Default
06:11:47.630,T3X0_001,Default
06:12:17.910,T3X0_001,Default
06:12:48.205,T3X0_001,Default
06:13:18.453,T3X0_001,Default
06:13:48.717,T3X0_001,Default
06:14:18.966,T3X0_001,Default
